Lead Number;Name;Lead Origin;Lead Source;Converted;TotalVisits;Total Time Spent on Website;Page Views Per Visit;Country;Specialization;What is your current occupation;City;A free copy of Mastering The Interview
617895;Gangadhar Srivastav;Landing Page Submission;Google;0;4;22;4;India;Supply Chain Management;Unemployed;Mumbai;No
617871;Kahan Mishra;API;Olark Chat;1;0;0;0;;Media and Advertising;Working Professional;Mumbai;No
617867;Kaveri Yadav;Landing Page Submission;Google;0;5;80;5;India;Business Administration;;Other Cities;No
617860;Dipankor Pandit;Landing Page Submission;Organic Search;0;2;73;2;United Kingdom;Supply Chain Management;Unemployed;Select;No
617857;Semim Devi;API;Google;0;3;396;3;India;Select;Student;Select;No
617854;Istkhar Gupta;API;Organic Search;1;4;1966;2;India;Select;Unemployed;Mumbai;No
617845;Najibur Seth;Landing Page Submission;Direct Traffic;1;4;646;2;India;Finance Management;Student;Mumbai;Yes
617842;Bapan Thakur;Lead Add Form;Reference;1;0;0;0;;Business Administration;Unemployed;Mumbai;No
617833;Chotu Maurrya;Landing Page Submission;Direct Traffic;0;3;166;3;India;Marketing Management;Unemployed;Thane & Outskirts;Yes
617817;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;3;341;1.5;United States;Finance Management;;Mumbai;Yes
617816;Divya Rajput;Landing Page Submission;Direct Traffic;1;10;1669;2.5;India;E-COMMERCE;Unemployed;Other Cities;Yes
617811;Rimjhim Maurrya;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Thane & Outskirts;No
617802;Kuldeep Singh Gupta;API;Organic Search;0;2;579;1;India;Select;Student;Select;No
617791;Abneesh Mishra;Landing Page Submission;Google;0;5;582;5;India;Business Administration;Unemployed;Mumbai;No
617782;Vasudha Rai;Lead Add Form;Reference;1;0;0;0;;Human Resource Management;Unemployed;Mumbai;No
617761;Mutyala Pandit;Landing Page Submission;Direct Traffic;1;7;1029;7;India;Marketing Management;Unemployed;Other Cities;No
617753;Priyansu Srivastav;Landing Page Submission;Organic Search;0;9;81;4.5;India;Travel and Tourism;Unemployed;Tier II Cities;Yes
617750;Jasveer Tiwari;API;Organic Search;0;2;122;2;Qatar;Select;Unemployed;Select;No
617745;Rushit Vishwakarma;Landing Page Submission;Organic Search;1;13;1469;2.17;India;Healthcare Management;Unemployed;Mumbai;No
617738;Sandeep Yadav Tiwari;Landing Page Submission;Google;0;6;529;6;India;Operations Management;Unemployed;Other Cities;No
617731;Yuvraj Sinh Rao;Landing Page Submission;Direct Traffic;0;2;130;2;India;Marketing Management;Unemployed;Other Cities of Maharashtra;Yes
617721;Amardip Divedi;Landing Page Submission;Direct Traffic;0;2;818;2;India;Marketing Management;Unemployed;Mumbai;Yes
617712;Sambath Thakur;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
617711;Gangaraju Pandey;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Mumbai;No
617703;Anjana Rajput;Landing Page Submission;Direct Traffic;1;4;281;4;India;E-COMMERCE;Working Professional;Mumbai;Yes
617701;Badu Pratap;API;Olark Chat;1;0;0;0;;;;;No
617698;Biswajit Das Rai;API;Google;0;5;418;5;India;;;;No
617676;Gondaliya Tiwari;Landing Page Submission;Direct Traffic;0;3;1409;1.5;India;Human Resource Management;Unemployed;Mumbai;Yes
617669;Zualtei Divedi;API;Olark Chat;0;0;0;0;;Select;Student;Select;No
617634;Makbool Kumar;API;Olark Chat;1;0;0;0;;;;;No
617630;Gafur Yadav;Landing Page Submission;Google;0;8;348;8;India;Media and Advertising;Unemployed;Mumbai;No
617625;Raaj Singh;API;Olark Chat;1;0;0;0;;;;;No
617618;Kalpit Rai;API;Olark Chat;0;0;0;0;;Select;Student;Select;No
617613;Tejasvi Pandey;Landing Page Submission;Google;1;6;865;6;India;Media and Advertising;;Mumbai;No
617610;Ranchod Rao;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
617576;Harshavardhan Divedi;Landing Page Submission;Google;1;7;1201;7;India;Marketing Management;Unemployed;Thane & Outskirts;No
617567;Karunakar Yadav;API;Olark Chat;0;0;0;0;;;;;No
617566;Gauhar Srivastav;Landing Page Submission;Google;0;6;1030;3;India;International Business;;Mumbai;No
617559;Prahlad Maurrya;API;Olark Chat;0;0;0;0;;Select;Student;Select;No
617554;Aish Srivastav;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Student;Mumbai;No
617545;Chinmay Singh;API;Olark Chat;0;0;0;0;;Select;Student;Select;No
617544;Sweta Srivastav;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
617520;Kartik Kumar Kumari;Lead Add Form;;1;0;0;0;;Select;Unemployed;Select;No
617515;Kayyum Divedi;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
617497;Dhanapal Mishra;API;Google;0;2;216;2;India;Select;Unemployed;Select;No
617495;Konkana Singh;Lead Add Form;;0;0;0;0;;Select;Unemployed;Select;No
617482;Shreyashi Sonkar;Landing Page Submission;Organic Search;0;3;151;3;India;Marketing Management;Unemployed;Select;No
617432;Daya Srivastav;Landing Page Submission;Direct Traffic;1;3;977;3;India;International Business;Unemployed;Mumbai;Yes
617419;Minhaz Rao;API;Organic Search;0;4;282;4;India;Select;Unemployed;Select;No
617405;Parbu Pandey;Landing Page Submission;Direct Traffic;1;7;899;2.33;France;E-COMMERCE;Unemployed;Other Cities of Maharashtra;Yes
617401;Bhag Rai;API;Olark Chat;0;0;0;0;;;;;No
617400;Loki Rao;Landing Page Submission;Google;1;4;1175;4;India;Business Administration;Unemployed;Thane & Outskirts;No
617392;Mithalesh Rajput;API;Google;0;2;858;2;India;;;;No
617386;Eshana Rai;API;Olark Chat;0;0;0;0;;;;;No
617368;Shanwaj Singh;Landing Page Submission;Google;0;4;1501;4;India;Human Resource Management;Unemployed;Mumbai;No
617361;Sarthak Pandit;API;Google;0;2;367;2;India;Select;Unemployed;Select;No
617354;Firuj Pandit;Landing Page Submission;Direct Traffic;1;8;1517;8;United Arab Emirates;Supply Chain Management;Unemployed;Other Cities;Yes
617346;Abhisekh Divedi;API;Olark Chat;1;0;0;0;;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
617313;Shaniya Gupta;API;Olark Chat;1;0;0;0;;Marketing Management;Unemployed;Thane & Outskirts;No
617307;Mallesham Vishwakarma;Landing Page Submission;Google;0;6;128;6;India;International Business;Unemployed;Mumbai;No
617272;Tapashi Pandey;API;Olark Chat;1;0;0;0;;Retail Management;Unemployed;Other Cities;No
617259;Anil Anil Kumari;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
617258;Parmeet Thakur;Landing Page Submission;Direct Traffic;1;2;1178;2;India;Human Resource Management;Unemployed;Other Metro Cities;Yes
617248;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;3;101;1.5;India;Finance Management;Unemployed;Mumbai;Yes
617235;Dhvani Srivastav;Landing Page Submission;Direct Traffic;1;8;1499;8;India;Rural and Agribusiness;Working Professional;Thane & Outskirts;No
617228;R C Vishwakarma;Landing Page Submission;Direct Traffic;1;2;203;2;India;Finance Management;;Mumbai;Yes
617223;Nileshkumar Rai;API;Olark Chat;1;0;0;0;;International Business;Unemployed;Other Cities of Maharashtra;No
617213;Badre Divedi;Landing Page Submission;Direct Traffic;0;2;348;2;India;Finance Management;Unemployed;Mumbai;Yes
617188;Pankti Vishwakarma;API;Organic Search;1;2;1223;2;India;Finance Management;Unemployed;Other Cities;No
617172;Ankit Sharma Singh;Landing Page Submission;Google;0;2;437;2;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
617146;Jitandar Divedi;API;Direct Traffic;0;10;491;3.33;India;;;;No
617125;Alpesh Thakur;Landing Page Submission;Direct Traffic;0;2;77;2;India;Select;Unemployed;Select;No
617123;Vishnukumar Thakur;API;Olark Chat;1;0;0;0;;Media and Advertising;Unemployed;Other Cities;No
617119;Kanda Tiwari;Landing Page Submission;Direct Traffic;0;5;194;5;India;Retail Management;;Thane & Outskirts;Yes
617100;Abrar Yadav;Lead Add Form;Reference;1;0;0;0;;Human Resource Management;Unemployed;Select;No
617081;Vijayraj Mishra;Landing Page Submission;Organic Search;0;5;37;5;India;Retail Management;Unemployed;Select;No
617071;Chiradeep Gupta;Landing Page Submission;Direct Traffic;0;5;296;5;India;Finance Management;;Mumbai;Yes
617063;Chiranjit Gupta;Landing Page Submission;Google;0;6;369;6;India;Operations Management;Unemployed;Mumbai;No
617043;Gurvinder Divedi;Lead Add Form;Reference;1;0;0;0;;Finance Management;Student;Mumbai;No
617035;Harpal Singh Pandit;Lead Add Form;Reference;1;;1010;;;Marketing Management;Unemployed;Mumbai;No
617028;Sukhdev Devi;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Mumbai;No
617008;Bhoja Maurrya;Landing Page Submission;Google;1;9;1066;3;India;Marketing Management;Unemployed;Mumbai;No
617003;Raghul Sonkar;Landing Page Submission;Google;1;3;1019;3;India;Marketing Management;;Mumbai;No
617000;Ramawadh Singh;API;Google;0;2;52;2;India;Select;Unemployed;Select;No
616994;Abneesh Mishra;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616985;Gullu Vishwakarma;API;Organic Search;0;13;391;6.5;India;Select;Unemployed;Mumbai;No
616965;Ram Kishan Thakur;API;Organic Search;1;2;362;2;India;Select;Unemployed;Other Cities;No
616959;Lalrin Kumar;Landing Page Submission;Direct Traffic;0;5;250;5;India;Healthcare Management;;Mumbai;Yes
616955;Abneesh Mishra;Landing Page Submission;Google;0;5;236;5;India;Human Resource Management;;Mumbai;No
616944;Jagruti Sonkar;Landing Page Submission;Direct Traffic;1;2;1575;2;India;Hospitality Management;Unemployed;Other Metro Cities;Yes
616924;Nakib Yadav;API;Olark Chat;1;0;0;0;;;;;No
616923;Dewanshi Rai;API;Google;0;2;1189;2;India;;;;No
616910;Heera Srivastav;API;Google;0;2;940;1;India;;;;No
616901;Sheeraz Mishra;API;Organic Search;0;2;1456;2;India;Select;Unemployed;Select;No
616885;Md Sohail Singh;API;Olark Chat;0;0;0;0;;;;;No
616851;Sukkur Mishra;API;Google;0;4;153;2;India;Select;Unemployed;Select;No
616848;Chandrashekar Rao;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616844;Pravash Divedi;Landing Page Submission;Google;0;4;1579;4;India;E-COMMERCE;Unemployed;Mumbai;No
616820;Debika Sonkar;API;Olark Chat;1;0;0;0;;Business Administration;Unemployed;Mumbai;No
616780;Kunga Thakur;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616777;Bhagaram Kumar;API;Google;0;3;187;1.5;India;Select;Unemployed;Select;No
616772;Nivetha Maurrya;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616761;Dnyanoba Rajput;Landing Page Submission;Direct Traffic;1;3;1346;3;India;Marketing Management;Working Professional;Thane & Outskirts;Yes
616758;Farooqui Gupta;API;Google;0;2;71;2;India;Select;Unemployed;Select;No
616756;Abhay Raj Gupta;Landing Page Submission;Direct Traffic;0;3;349;3;India;Human Resource Management;;Mumbai;Yes
616749;Pralad Divedi;API;Google;0;2;67;2;India;Select;Unemployed;Select;No
616744;Lipsha Tiwari;API;Olark Chat;0;0;0;0;;;;;No
616739;Rishita Divedi;Landing Page Submission;Google;0;28;81;3.5;India;Retail Management;;Mumbai;Yes
616733;Prama Sonkar;Landing Page Submission;Direct Traffic;1;9;1324;3;India;Human Resource Management;Unemployed;Mumbai;Yes
616732;Rajender Kumar Pratap;Landing Page Submission;Google;1;2;1004;2;India;Finance Management;Unemployed;Mumbai;No
616725;Dipayan Pandey;API;Google;0;2;104;2;India;;;;No
616721;Kushwah Kumari;API;Olark Chat;0;3;101;1.5;India;Select;Unemployed;Select;No
616720;Hmangaiha Sonkar;API;Google;0;4;331;1.33;India;Select;Unemployed;Select;No
616706;Badam Kumar;Landing Page Submission;Direct Traffic;1;5;36;5;India;Finance Management;Unemployed;Mumbai;Yes
616699;Sunirmal Pratap;API;Google;1;2;1129;1;India;;;;No
616697;S L Seth;Landing Page Submission;Direct Traffic;0;4;11;4;India;Finance Management;;Mumbai;Yes
616685;Muruga Thakur;Lead Add Form;Reference;1;;1620;;;Select;Unemployed;Select;No
616684;Yaar Yadav;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Thane & Outskirts;No
616664;Vahid Sonkar;API;Google;1;3;8;1.5;India;;;;No
616661;Rajabhau Rai;Landing Page Submission;Google;0;4;1239;4;India;Finance Management;Unemployed;Mumbai;No
616642;Sarita Kumari Srivastav;Landing Page Submission;Google;0;5;218;5;India;Finance Management;;Thane & Outskirts;No
616626;Bheru Singh Pandey;Landing Page Submission;Direct Traffic;1;7;1284;3.5;India;Human Resource Management;Unemployed;Mumbai;Yes
616621;Tabssum Srivastav;Landing Page Submission;Google;0;3;1022;3;India;Human Resource Management;;Mumbai;No
616614;Allarakha Rai;API;Organic Search;1;5;1229;2.5;India;;;;No
616607;Abneesh Mishra;API;Direct Traffic;1;10;1398;2.5;India;Human Resource Management;;Mumbai;Yes
616598;Manthesh Vishwakarma;Landing Page Submission;Google;1;4;952;4;India;Operations Management;Unemployed;Other Cities;No
616597;Daulat Srivastav;API;Olark Chat;0;0;0;0;;;;;No
616596;Kiran Kumar Kumar;API;Olark Chat;0;0;0;0;;;;;No
616592;Biran Seth;API;Olark Chat;0;1;198;1;;Select;Unemployed;Select;No
616591;Vijoy Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616586;Ramroop Vishwakarma;API;Referral Sites;1;2;476;1;India;;;;No
616581;Parem Pandit;Landing Page Submission;Google;0;4;144;4;India;Finance Management;Unemployed;Mumbai;Yes
616576;Azim Vishwakarma;API;Google;1;2;1226;2;India;;;;No
616572;Bangali Pandey;Landing Page Submission;Direct Traffic;1;10;900;5;India;IT Projects Management;;Other Cities of Maharashtra;Yes
616567;Deeptendu Maurya;Landing Page Submission;Direct Traffic;1;4;1609;4;India;Operations Management;;Other Metro Cities;Yes
616561;Gazala Gupta;API;Olark Chat;0;0;0;0;;;;;No
616560;Tabrej Rao;API;Olark Chat;0;0;0;0;;;;;No
616540;Bhuvaneshwar Yadav;Landing Page Submission;Google;0;4;9;4;India;Finance Management;;Mumbai;No
616534;Gurumurthy Kumari;API;Olark Chat;0;0;0;0;;;;;No
616531;Shubh Srivastav;API;Olark Chat;0;0;0;0;;;;;No
616521;Mahalingam Sonkar;Landing Page Submission;Google;1;5;1063;2.5;India;Finance Management;Unemployed;Thane & Outskirts;No
616514;Madri Maurrya;Landing Page Submission;Google;1;4;1416;4;India;Human Resource Management;Unemployed;Thane & Outskirts;No
616507;Rayma Tiwari;Landing Page Submission;Google;0;3;1385;3;India;Finance Management;Unemployed;Other Cities;No
616506;Gupal Pandey;Landing Page Submission;Direct Traffic;0;4;337;4;India;;;;No
616493;Taksh Tiwari;Landing Page Submission;Google;1;4;1544;4;;Operations Management;Unemployed;Other Cities;No
616460;Parthi Srivastav;Landing Page Submission;Direct Traffic;0;5;608;5;India;Supply Chain Management;;Other Cities;Yes
616456;Dharmaketu Rao;Landing Page Submission;Direct Traffic;0;7;250;1.4;India;Healthcare Management;Unemployed;Other Cities;No
616453;Lingaraju Yadav;Landing Page Submission;Direct Traffic;0;8;283;8;India;Healthcare Management;;Mumbai;Yes
616444;Sudhar Pandit;API;Olark Chat;1;0;0;0;;;;;No
616442;Karishma Pandey;API;Olark Chat;0;0;0;0;;;;;No
616421;Jayanna Vishwakarma;Landing Page Submission;Google;0;4;287;4;India;Human Resource Management;Unemployed;Other Cities;No
616420;Barkat Kumar;Landing Page Submission;Google;0;3;389;3;India;Marketing Management;Unemployed;Thane & Outskirts;No
616401;Iswar Thakur;Landing Page Submission;Google;0;4;205;4;India;Business Administration;;Other Cities;No
616397;Lokendar Rao;API;Olark Chat;0;0;0;0;;;;;No
616382;Sujeetkumar Srivastav;Landing Page Submission;Direct Traffic;0;15;978;15;India;E-COMMERCE;Unemployed;Other Metro Cities;No
616359;Vikramkumar Srivastav;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616349;Shantilal Rao;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
616347;Kumaravel Devi;API;Organic Search;0;3;382;3;India;Select;Unemployed;Select;No
616332;Zakhmi Singh;Landing Page Submission;Direct Traffic;0;2;80;2;India;E-COMMERCE;Unemployed;Mumbai;Yes
616325;Laishram Seth;Landing Page Submission;Google;1;2;1495;2;India;Human Resource Management;Unemployed;Other Cities of Maharashtra;No
616275;Jaswant Divedi;Landing Page Submission;Organic Search;0;9;62;2.25;India;Human Resource Management;;Other Cities of Maharashtra;Yes
616261;Gyani Pandey;Landing Page Submission;Google;1;4;1701;4;India;Marketing Management;Unemployed;Mumbai;No
616247;Sabita Divedi;Landing Page Submission;Direct Traffic;0;6;142;3;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
616237;Shafique Rajput;API;Organic Search;0;3;26;3;India;Select;Unemployed;Select;No
616232;Ganeswar Kumar;Landing Page Submission;Direct Traffic;1;2;1659;2;India;IT Projects Management;Unemployed;Other Cities of Maharashtra;Yes
616225;Gurdeep Singh Gupta;Landing Page Submission;Direct Traffic;0;4;419;1.33;India;Marketing Management;Unemployed;Mumbai;Yes
616210;Shivbabu Rai;Landing Page Submission;Google;0;4;48;4;India;Operations Management;Unemployed;Mumbai;No
616206;Manji Tiwari;API;Google;1;8;1036;4;India;Human Resource Management;Unemployed;Mumbai;No
616185;Nehal Rai;Landing Page Submission;Google;1;3;1637;3;India;"Banking; Investment And Insurance";Unemployed;Mumbai;No
616183;Prabu Kumar;Landing Page Submission;Google;0;2;1014;2;India;Finance Management;Unemployed;Thane & Outskirts;No
616173;Bijal Vishwakarma;Landing Page Submission;Google;0;4;952;4;India;Business Administration;Unemployed;Other Metro Cities;No
616164;Beena Yadav;Landing Page Submission;Google;1;2;665;2;India;Marketing Management;;Other Metro Cities;No
616152;Pritish Yadav;Landing Page Submission;Google;0;18;13;3;India;Human Resource Management;;Mumbai;Yes
616149;Rangappa Singh;Landing Page Submission;Google;1;4;1081;4;India;Finance Management;Unemployed;Other Cities of Maharashtra;No
616146;Shayar Vishwakarma;Landing Page Submission;Direct Traffic;0;3;152;1.5;India;IT Projects Management;;Mumbai;Yes
616143;Maruati Sonkar;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
616130;Sagaya Pandey;API;Google;1;3;1490;3;India;Select;Unemployed;Select;No
616127;Sattibabu Yadav;Landing Page Submission;Google;0;4;930;4;India;Business Administration;Unemployed;Mumbai;No
616116;Wajahat Divedi;Landing Page Submission;Direct Traffic;0;6;168;6;India;IT Projects Management;Unemployed;Mumbai;Yes
616102;Baisa Tiwari;Landing Page Submission;Google;1;4;429;4;India;Supply Chain Management;Working Professional;Thane & Outskirts;No
616085;Rameshwer Mishra;Landing Page Submission;Organic Search;0;14;171;7;India;Travel and Tourism;Unemployed;Other Cities;Yes
616074;Azaj Maurya;Landing Page Submission;Direct Traffic;0;16;247;1.45;United States;"Banking; Investment And Insurance";Unemployed;Other Cities of Maharashtra;Yes
616073;Anjar Srivastav;Landing Page Submission;Direct Traffic;1;5;1298;2.5;India;Human Resource Management;;Other Metro Cities;Yes
616068;Ikbal Singh;API;Olark Chat;1;0;0;0;;Select;Unemployed;Mumbai;No
616067;Jasleen Divedi;Landing Page Submission;Direct Traffic;1;5;1540;2.5;India;Marketing Management;Working Professional;Other Metro Cities;Yes
616059;Shubhan Srivastav;Landing Page Submission;Google;1;6;1027;3;India;Marketing Management;Unemployed;Mumbai;Yes
616058;Harsha Sonkar;API;Olark Chat;1;0;0;0;;Marketing Management;Unemployed;Mumbai;No
616049;Varshitha Yadav;Landing Page Submission;Google;1;5;1220;2.5;India;Finance Management;Unemployed;Mumbai;No
616047;Harishanker Rao;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616046;Pitabas Devi;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
616037;Dattatray Srivastav;Landing Page Submission;Google;0;10;1246;5;India;Marketing Management;;Mumbai;No
616035;Muan Gupta;Landing Page Submission;Direct Traffic;1;4;1225;4;India;Marketing Management;Unemployed;Mumbai;No
616023;Moti Rajput;Landing Page Submission;Google;1;3;1270;3;India;Media and Advertising;Unemployed;Thane & Outskirts;No
616018;Dhanjeet Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Mumbai;No
616009;Haushila Sonkar;Landing Page Submission;Google;0;3;35;3;India;Marketing Management;Unemployed;Mumbai;Yes
616003;Nain Thakur;Landing Page Submission;Google;1;4;874;4;India;Rural and Agribusiness;Working Professional;Thane & Outskirts;No
616002;Oshin Sonkar;Lead Add Form;Reference;0;0;0;0;;Select;Unemployed;Select;No
615997;Sarfaraj Maurrya;Lead Add Form;Click2call;0;0;0;0;;Human Resource Management;Unemployed;Mumbai;No
615988;Nageswara Rao Pratap;API;Olark Chat;0;0;0;0;;;;;No
615968;Mushir Rao;Landing Page Submission;Google;0;8;68;8;India;Human Resource Management;Unemployed;Other Cities;No
615964;Hanamanta Pandey;API;Google;1;2;848;1;India;;;;No
615958;Jahnavi Vishwakarma;API;Google;0;3;502;1.5;India;;;;No
615952;Sukesh Rao;Landing Page Submission;Direct Traffic;0;6;748;2;Australia;Supply Chain Management;;Mumbai;Yes
615950;Aditya Raj Thakur;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
615948;Sujeet Singh Thakur;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
615932;Saneep Rajput;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
615929;Dilip Raj Gupta;Landing Page Submission;Google;0;3;263;3;India;Operations Management;;Thane & Outskirts;No
615917;Jasmer Yadav;API;Olark Chat;0;0;0;0;;;;;No
615912;Vatsala Vishwakarma;API;Google;0;1;649;1;India;;;;No
615906;Kaim Seth;Landing Page Submission;Organic Search;1;7;1549;7;India;Human Resource Management;Unemployed;Mumbai;Yes
615899;Audumbar Kumar;Landing Page Submission;Direct Traffic;0;18;301;1.5;India;Finance Management;Unemployed;Mumbai;Yes
615885;Sweety Vishwakarma;Landing Page Submission;Google;0;2;1446;2;India;Marketing Management;;Other Cities of Maharashtra;No
615883;Ramanbhai Vishwakarma;Landing Page Submission;Google;0;3;201;3;India;Human Resource Management;Unemployed;Mumbai;No
615878;P K Yadav;Landing Page Submission;Organic Search;1;5;1019;5;India;Healthcare Management;Working Professional;Other Metro Cities;Yes
615877;Sibi Tiwari;Landing Page Submission;Google;1;4;2111;4;India;Finance Management;Unemployed;Mumbai;No
615865;Ranjana Maurrya;API;Google;0;3;1039;1;India;;;;No
615853;Baishakhi Rao;API;Olark Chat;1;0;0;0;;;;;No
